total,inter,intra,torsions,intra best pose
-8.426,-13.105,-1.136,4.679,-1.136
-8.389,-12.7,-1.483,4.659,-1.136
-8.103,-12.523,-1.216,4.5,-1.136
-8.051,-12.127,-1.531,4.471,-1.136
-7.967,-11.883,-1.645,4.425,-1.136
-7.936,-12.074,-1.405,4.408,-1.136
-7.858,-11.659,-1.698,4.364,-1.136
-7.716,-11.663,-1.473,4.285,-1.136
-7.671,-11.514,-1.552,4.26,-1.136
